,model,conclusion_type,yes_prob,prompt,premise_1,premise_2,premise_3,conclusion
112,gpt2,specific,0.5183470845222473,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,elephant,,horse
113,gpt2,specific,0.5285201072692871,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,rhino,,horse
114,gpt2,specific,0.5695964694023132,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that seals and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",seal,elephant,,horse
115,gpt2,specific,0.5758237242698669,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that seals and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",seal,rhino,,horse
116,gpt2,specific,0.5477457046508789,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that elephants and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",elephant,rhino,,horse
117,gpt2,general,0.5196165442466736,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and mice have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,mouse,all mammals
118,gpt2,general,0.5327954888343811,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,seal,all mammals
119,gpt2,general,0.5310022830963135,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,rhino,all mammals
120,gpt2,general,0.5181442499160767,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, chimps and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,chimp,squirrel,all mammals
121,gpt2,general,0.5253269672393799,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, chimps and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,chimp,seal,all mammals
122,gpt2,general,0.5263693928718567,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, gorillas and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,gorilla,squirrel,all mammals
123,gpt2,general,0.5238332748413086,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, gorillas and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,gorilla,dolphin,all mammals
124,gpt2,general,0.5239817500114441,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,squirrel,all mammals
125,gpt2,general,0.5294572710990906,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,seal,all mammals
126,gpt2,general,0.5285904407501221,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,rhino,all mammals
127,gpt2,general,0.5351534485816956,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, squirrels and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,squirrel,seal,all mammals
128,gpt2,general,0.5313233733177185,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, squirrels and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,squirrel,elephant,all mammals
129,gpt2,general,0.527715802192688,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, dolphins and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,dolphin,seal,all mammals
130,gpt2,general,0.5258501172065735,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,dolphin,elephant,all mammals
131,gpt2,general,0.5223069190979004,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,dolphin,all mammals
132,gpt2,general,0.5337563157081604,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,seal,all mammals
133,gpt2,general,0.5309624075889587,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,elephant,all mammals
134,gpt2,general,0.5382570624351501,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,mouse,seal,all mammals
135,gpt2,general,0.5383575558662415,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, mice and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,mouse,rhino,all mammals
136,gpt2,general,0.5331031084060669,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, squirrels and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,squirrel,dolphin,all mammals
137,gpt2,general,0.5405335426330566,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, squirrels and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,squirrel,rhino,all mammals
138,gpt2,general,0.534301221370697,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,dolphin,elephant,all mammals
139,gpt2,general,0.5370262265205383,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, dolphins and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,dolphin,rhino,all mammals
140,gpt2,general,0.5483711957931519,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, seals and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,seal,elephant,all mammals
141,gpt2,general,0.5432665348052979,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, elephants and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,elephant,rhino,all mammals
142,gpt2,general,0.49848172068595886,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, gorillas and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,squirrel,all mammals
143,gpt2,general,0.4947358965873718,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, gorillas and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,dolphin,all mammals
144,gpt2,general,0.5059525370597839,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, gorillas and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,seal,all mammals
145,gpt2,general,0.497409850358963,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, squirrels and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,dolphin,all mammals
146,gpt2,general,0.5044306516647339,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, squirrels and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,elephant,all mammals
147,gpt2,general,0.5054872035980225,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, squirrels and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,rhino,all mammals
148,gpt2,general,0.5016365051269531,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",chimp,dolphin,elephant,all mammals
149,gpt2,general,0.5229102969169617,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,mouse,seal,all mammals
150,gpt2,general,0.5170641541481018,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, mice and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,mouse,elephant,all mammals
151,gpt2,general,0.5140591859817505,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, squirrels and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,squirrel,dolphin,all mammals
152,gpt2,general,0.5310288667678833,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, seals and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,seal,elephant,all mammals
153,gpt2,general,0.5200850367546082,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas, elephants and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",gorilla,elephant,rhino,all mammals
154,gpt2,general,0.5226723551750183,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, squirrels and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,squirrel,seal,all mammals
155,gpt2,general,0.5165650248527527,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, dolphins and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,dolphin,seal,all mammals
156,gpt2,general,0.5303847193717957,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, seals and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,seal,elephant,all mammals
157,gpt2,general,0.5321553945541382,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, seals and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,seal,rhino,all mammals
158,gpt2,general,0.5259604454040527,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice, elephants and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",mouse,elephant,rhino,all mammals
159,gpt2,general,0.5425546169281006,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels, dolphins and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",squirrel,dolphin,seal,all mammals
160,gpt2,general,0.5416664481163025,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels, dolphins and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",squirrel,dolphin,rhino,all mammals
161,gpt2,general,0.5486130118370056,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels, seals and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",squirrel,seal,rhino,all mammals
162,gpt2-medium,specific,0.2994755804538727,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and chimps have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,chimp,,horse
163,gpt2-medium,specific,0.28679850697517395,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and gorillas have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,gorilla,,horse
164,gpt2-medium,specific,0.3067314028739929,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,mouse,,horse
165,gpt2-medium,specific,0.30679795145988464,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,squirrel,,horse
166,gpt2-medium,specific,0.2932519018650055,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,dolphin,,horse
167,gpt2-medium,specific,0.31350186467170715,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,seal,,horse
168,gpt2-medium,specific,0.30351966619491577,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,elephant,,horse
169,gpt2-medium,specific,0.3113327920436859,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",cow,rhino,,horse
170,gpt2-medium,specific,0.28826844692230225,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and gorillas have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,gorilla,,horse
171,gpt2-medium,specific,0.3035632371902466,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,mouse,,horse
172,gpt2-medium,specific,0.2944621741771698,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,squirrel,,horse
173,gpt2-medium,specific,0.29188910126686096,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,dolphin,,horse
174,gpt2-medium,specific,0.3042216897010803,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,seal,,horse
175,gpt2-medium,specific,0.2979556620121002,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,elephant,,horse
176,gpt2-medium,specific,0.30223017930984497,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that chimps and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",chimp,rhino,,horse
177,gpt2-medium,specific,0.2844043970108032,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and mice have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,mouse,,horse
178,gpt2-medium,specific,0.2825092375278473,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,squirrel,,horse
179,gpt2-medium,specific,0.27459219098091125,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,dolphin,,horse
180,gpt2-medium,specific,0.289556086063385,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,seal,,horse
181,gpt2-medium,specific,0.2825734615325928,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,elephant,,horse
182,gpt2-medium,specific,0.2843834459781647,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that gorillas and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",gorilla,rhino,,horse
183,gpt2-medium,specific,0.30083462595939636,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and squirrels have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,squirrel,,horse
184,gpt2-medium,specific,0.28806185722351074,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,dolphin,,horse
185,gpt2-medium,specific,0.3091067969799042,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,seal,,horse
186,gpt2-medium,specific,0.3019864857196808,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,elephant,,horse
187,gpt2-medium,specific,0.31015053391456604,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that mice and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",mouse,rhino,,horse
188,gpt2-medium,specific,0.3015419840812683,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and dolphins have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,dolphin,,horse
189,gpt2-medium,specific,0.32070493698120117,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,seal,,horse
190,gpt2-medium,specific,0.3086181879043579,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,elephant,,horse
191,gpt2-medium,specific,0.3141384720802307,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that squirrels and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",squirrel,rhino,,horse
192,gpt2-medium,specific,0.3133516311645508,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and seals have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,seal,,horse
193,gpt2-medium,specific,0.30268409848213196,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,elephant,,horse
194,gpt2-medium,specific,0.3145882189273834,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that dolphins and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",dolphin,rhino,,horse
195,gpt2-medium,specific,0.3265834450721741,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that seals and elephants have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",seal,elephant,,horse
196,gpt2-medium,specific,0.33682677149772644,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that seals and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",seal,rhino,,horse
197,gpt2-medium,specific,0.3254016041755676,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that elephants and rhinos have property P. Does this mean that horses have property P? Please answer Yes or No.
A: Yes",elephant,rhino,,horse
198,gpt2-medium,general,0.30492547154426575,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and mice have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,mouse,all mammals
199,gpt2-medium,general,0.2994219660758972,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,seal,all mammals
200,gpt2-medium,general,0.302789568901062,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, cows and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,cow,rhino,all mammals
201,gpt2-medium,general,0.2988077700138092,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, chimps and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,chimp,squirrel,all mammals
202,gpt2-medium,general,0.2993427515029907,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, chimps and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,chimp,seal,all mammals
203,gpt2-medium,general,0.2887022793292999,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, gorillas and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,gorilla,squirrel,all mammals
204,gpt2-medium,general,0.2803761661052704,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, gorillas and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,gorilla,dolphin,all mammals
205,gpt2-medium,general,0.2991163730621338,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and squirrels have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,squirrel,all mammals
206,gpt2-medium,general,0.302503764629364,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,seal,all mammals
207,gpt2-medium,general,0.3055022358894348,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, mice and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,mouse,rhino,all mammals
208,gpt2-medium,general,0.3030964732170105,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, squirrels and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,squirrel,seal,all mammals
209,gpt2-medium,general,0.30099835991859436,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, squirrels and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,squirrel,elephant,all mammals
210,gpt2-medium,general,0.2976876199245453,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, dolphins and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,dolphin,seal,all mammals
211,gpt2-medium,general,0.2940201163291931,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that horses, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",horse,dolphin,elephant,all mammals
212,gpt2-medium,general,0.28646624088287354,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,dolphin,all mammals
213,gpt2-medium,general,0.29486334323883057,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,seal,all mammals
214,gpt2-medium,general,0.29188358783721924,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, chimps and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,chimp,elephant,all mammals
215,gpt2-medium,general,0.2958033084869385,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, mice and seals have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,mouse,seal,all mammals
216,gpt2-medium,general,0.2988637387752533,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, mice and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,mouse,rhino,all mammals
217,gpt2-medium,general,0.288327157497406,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, squirrels and dolphins have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,squirrel,dolphin,all mammals
218,gpt2-medium,general,0.3026309311389923,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, squirrels and rhinos have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,squirrel,rhino,all mammals
219,gpt2-medium,general,0.28642648458480835,"You are an expert on the properties that animals have, and you understand how animals share properties in common.
Recently some animals have been discovered to have property P.
We know that cows, dolphins and elephants have property P. Does this mean that all mammalss have property P? Please answer Yes or No.
A: Yes",cow,dolphin,elephant,all mammals
